Product type,SKU,Order_Date,Manufacturing_Date,Shipping_Date,Order_Year,Order_Quarter,Order_Month_Num,Order_Month_Name,Order_DayOfWeek,Price,Availability,Number of products sold,Unverified_Revenue_or_Profit,Customer demographics,Stock levels,Supplier_Lead_Time_Days,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Manufacturing_Lead_Time_Days,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect_Rate_Percentage,Transportation modes,Routes,Total_Operational_Costs,Expected_Revenue,Revenue_Diff_Abs,Revenue_Mismatch_Flag,Is_Backorder,Inspection_Original,Inspection_Was_Incorrect
haircare,SKU0,2023-04-13,2023-03-07,2023-04-17,2023,Q2,4,Apr,Thursday,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pass,0.23,Road,Route B,187.75207545920392,55986.02,47324.02,True,False,Pending,True
skincare,SKU1,2024-03-11,2024-01-14,2024-03-13,2024,Q1,3,Mar,Monday,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.85,Road,Route B,503.0655791496692,10924.83,3463.93,True,False,Pending,False
haircare,SKU2,2023-09-28,2023-09-03,2023-09-30,2023,Q3,9,Sep,Thursday,11.319683293090566,34,8,9577.74962586873,Not_Specified,1,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,Pending,4.58,Air,Route C,141.92028177151906,90.56,9487.19,True,False,Pending,False
skincare,SKU3,2023-04-17,2023-03-08,2023-04-23,2023,Q2,4,Apr,Monday,61.163343016437736,68,83,7766.836425685233,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,Pending,4.75,Rail,Route A,254.77615921928663,5076.56,2690.28,True,False,Fail,True
skincare,SKU4,2023-03-13,2023-03-04,2023-03-21,2023,Q1,3,Mar,Monday,4.805496036345893,26,871,2686.505151567447,Non-binary,5,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,Pending,3.15,Air,Route A,923.4406317119222,4185.59,1499.08,True,False,Fail,True
haircare,SKU5,2024-12-01,2024-10-22,2024-12-04,2024,Q4,12,Dec,Sunday,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,Pending,2.78,Road,Route A,235.4612367355375,249.9,2578.45,True,False,Fail,True
skincare,SKU6,2023-01-21,2022-12-20,2023-01-29,2023,Q1,1,Jan,Saturday,4.078332863107945,48,65,7823.476559531737,Male,11,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,Pass,1.0,Sea,Route A,134.36909686103172,265.09,7558.39,True,False,Pending,True
cosmetics,SKU7,2024-09-06,2024-07-28,2024-09-07,2024,Q3,9,Sep,Friday,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Pass,0.4,Road,Route C,802.0563118175586,18300.27,9804.17,True,False,Fail,True
cosmetics,SKU8,2023-05-02,2023-04-06,2023-05-09,2023,Q2,5,May,Tuesday,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.71,Sea,Route B,505.55713422546415,10307.64,2790.28,True,False,Pending,False
skincare,SKU9,2024-04-11,2024-02-10,2024-04-12,2024,Q2,4,Apr,Thursday,64.01573294127854,35,980,4971.145987585558,Not_Specified,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.84,Rail,Route B,995.9294614986416,62735.42,57764.27,True,False,Pending,False
